year,species,biomass,observed_biomass,relative_observed,relative_fitted
2012,Ginglymostoma cirratum,1.799999952,1.8,1.2627,1.8
2013,Ginglymostoma cirratum,2.382056713,2.839398,1.9919,2.38237023353576
2014,Ginglymostoma cirratum,2.808709621,3.555703,2.4944,2.80781965255738
2015,Ginglymostoma cirratum,2.928537846,5.886178,4.1292,2.91798269748688
2016,Ginglymostoma cirratum,2.785528898,4.704254,3.3001,2.76332867145538
2017,Ginglymostoma cirratum,2.666763544,5.445588,3.8201,2.63889455795287
2018,Ginglymostoma cirratum,2.582635164,3.409005,2.3915,2.55065910816193
2012,Lutjanus jocu,2.220000029,2.22,2.4235,2.22
2013,Lutjanus jocu,2.119642973,2.027739,2.2137,2.12134974718094
2014,Lutjanus jocu,1.990687847,2.075025,2.2653,1.99449300885201
2015,Lutjanus jocu,1.875579119,1.521285,1.6608,1.87785486102104
2016,Lutjanus jocu,1.808557749,1.394551,1.5224,1.80745317220688
2017,Lutjanus jocu,1.782986999,1.499202,1.6367,1.78001455307007
2018,Lutjanus jocu,1.774519086,1.657619,1.8096,1.77048628807068
2012,Cephalopholis fulva,0.200000003,0.2,0.1811,0.2
2013,Cephalopholis fulva,0.331730127,0.424913,0.3848,0.322603964805604
2014,Cephalopholis fulva,0.455765069,0.6680616,0.605,0.422586345672608
2015,Cephalopholis fulva,0.524529815,0.7156951,0.6482,0.471141529083252
2016,Cephalopholis fulva,0.533945918,0.5769806,0.5225,0.479483127593994
2017,Cephalopholis fulva,0.513130844,0.4089686,0.3704,0.46869568824768
2018,Cephalopholis fulva,0.485966623,0.4026906,0.3647,0.449018907546998
2012,Carangidae,2.119999886,2.12,1.27033236288469,2.12
2013,Carangidae,3.045846224,2.742664,1.64344111001313,3.04486813545227
2014,Carangidae,3.459338665,7.164319,4.29295662041152,3.44148966789246
2015,Carangidae,3.352402925,9.149915,5.4827521946784,3.29853929042817
2016,Carangidae,3.122327805,9.723755,5.82660433169656,3.0460415315628
2017,Carangidae,2.99444437,5.161921,3.09309230463591,2.92065949440002
2018,Carangidae,2.958422661,4.311664,2.58360695540389,2.89447706699371
2012,Acanthurus spp.,9.859999657,9.86,9.9561108085111,9.86
2013,Acanthurus spp.,9.65157032,9.786333,9.88172616500846,9.66500113129615
2014,Acanthurus spp.,9.243233681,10.255217,10.3551840116403,9.28132177591324
2015,Acanthurus spp.,8.967500687,7.805351,7.88143407461492,9.02676873326301
2016,Acanthurus spp.,8.888947487,8.766668,8.85212117207562,8.96455344557762
2017,Acanthurus spp.,8.936484337,8.356342,8.43779548181527,9.02122435450553
2018,Acanthurus spp.,9.021531105,9.431128,9.52305823415214,9.10206156134606
2012,Stegastes rocasensis,0.460000008,0.46,0.584278253691126,0.46
2013,Stegastes rocasensis,0.446677268,0.4969154,0.631167080204025,0.45220787525177
2014,Stegastes rocasensis,0.423161238,0.522487,0.663647342339881,0.44084149479866
2015,Stegastes rocasensis,0.409136474,0.3489655,0.443245536522285,0.43850686788559
2016,Stegastes rocasensis,0.408071458,0.2020732,0.256667337326286,0.443723661899567
2017,Stegastes rocasensis,0.414018631,0.2800376,0.355695399515572,0.449647706747055
2018,Stegastes rocasensis,0.42086032,0.2871034,0.364670170935934,0.452115914821625
2012,Thalassoma noronhanum,0.200000003,0.2,0.210462460118554,0.2
2013,Thalassoma noronhanum,0.17773813,0.1640709,0.172653828144082,0.182480990886688
2014,Thalassoma noronhanum,0.140288174,0.15491803,0.163022114661394,0.153598189353943
2015,Thalassoma noronhanum,0.116602488,0.08046434,0.084673614264793,0.137703835964203
2016,Thalassoma noronhanum,0.106933013,0.07363402,0.077485977028783,0.134497272968292
2017,Thalassoma noronhanum,0.105287477,0.18210369,0.191629953782406,0.137654626369476
2018,Thalassoma noronhanum,0.107093416,0.22643443,0.238279695287562,0.14168598651886
2012,Abudefduf saxatilis,0.99000001,0.99,0.902055628228107,0.99
2013,Abudefduf saxatilis,1.020532846,0.8824236,0.804035503914384,1.0215972161293
2014,Abudefduf saxatilis,0.982775509,0.7432853,0.677257144203341,0.983529176115989
2015,Abudefduf saxatilis,0.955080688,0.5155734,0.469773602887099,0.953098677992821
2016,Abudefduf saxatilis,0.959660411,1.2228339,1.11420633675762,0.954852767586708
2017,Abudefduf saxatilis,0.981078029,1.717586,1.56500822209203,0.973995451927185
2018,Abudefduf saxatilis,1.000435472,2.4207161,2.20567728662864,0.990369983911513
2012,Sparisoma spp.,1.129999995,1.13,1.11300821811522,1.13
2013,Sparisoma spp.,1.397161722,1.925271,1.89632078960307,1.39663884878158
2014,Sparisoma spp.,1.543540955,1.844874,1.81713270725614,1.53864536046982
2015,Sparisoma spp.,1.570136547,1.808154,1.78096482793286,1.55713301897049
2016,Sparisoma spp.,1.531856179,1.269728,1.25063508308304,1.51339395403862
2017,Sparisoma spp.,1.483518362,1.199768,1.1817270714127,1.4647829592228
2018,Sparisoma spp.,1.45064652,1.379307,1.35856643184787,1.43366750955582
2012,Melichthys niger,0.270000011,0.27,0.231228224386482,0.27
2013,Melichthys niger,0.37761277,0.4317996,0.369793513536778,0.383516600131989
2014,Melichthys niger,0.457234621,0.3857143,0.330326027545621,0.490146671533585
2015,Melichthys niger,0.492036253,0.7480523,0.640632585103691,0.572881608009338
2016,Melichthys niger,0.491533875,0.9524308,0.815662483135659,0.621970539093018
2017,Melichthys niger,0.476853997,1.0823373,0.926914288149113,0.639998202323913
2018,Melichthys niger,0.46226126,0.9447495,0.809084202977965,0.637371461391449
2012,Mulloidichthys martinicus,0.416000009,0.416,0.359151374371205,0.416
2013,Mulloidichthys martinicus,0.971077323,2.0951025,1.80879595074455,0.963857482910155
2014,Mulloidichthys martinicus,1.358790755,3.0691033,2.64969360266703,1.34863861846924
2015,Mulloidichthys martinicus,1.289275408,3.1014653,2.67763314805648,1.28230739593506
2016,Mulloidichthys martinicus,1.205267668,1.4331506,1.23730322864765,1.19320355987549
2017,Mulloidichthys martinicus,1.18468833,0.682546,0.589272442155526,1.17268991851807
2018,Mulloidichthys martinicus,1.169657707,0.6816634,0.588510432099005,1.15971848297119
2012,Holocentrus adscensionis,2.118000031,2.118,1.67492862883319,2.118
2013,Holocentrus adscensionis,2.819725752,4.292554,3.39458041412949,2.82722356367112
2014,Holocentrus adscensionis,2.965451241,5.240494,4.14421762300129,2.98523187875747
2015,Holocentrus adscensionis,2.884256124,4.923633,3.89364207549344,2.89843829798698
2016,Holocentrus adscensionis,2.903517485,3.816866,3.01840316875385,2.90234071040153
2017,Holocentrus adscensionis,2.983612776,2.77696,2.19603850994384,2.97242633056642
2018,Holocentrus adscensionis,3.000373125,3.36232,2.65894516345223,2.98148247241973
2012,Haemulidae,0.962000012,0.962,0.751844211081396,0.962
2013,Haemulidae,1.00173986,0.6477912,0.506276572321108,1.00424259233475
2014,Haemulidae,0.970466137,1.2264773,0.958544325202593,0.973149354457859
2015,Haemulidae,0.941119015,1.6746996,1.30884979253548,0.937496982216836
2016,Haemulidae,0.949311078,1.7857878,1.39566985161189,0.938962010741234
2017,Haemulidae,0.974866092,1.3956905,1.0907923214523,0.960617253899574
2018,Haemulidae,0.991880655,1.3872951,1.08423046482704,0.973924816131593
2012,Cryptobenthic reef fishes,0.790000021,0.79,1.13520974742056,0.79
2013,Cryptobenthic reef fishes,0.645295978,0.6154048,0.884320874939053,0.654001440405846
2014,Cryptobenthic reef fishes,0.511481285,0.3660933,0.526066512390927,0.537599450349808
2015,Cryptobenthic reef fishes,0.436066985,0.2143545,0.308021913154614,0.480224961638451
2016,Cryptobenthic reef fishes,0.408468544,0.2055187,0.295325084720691,0.469627504944801
2017,Cryptobenthic reef fishes,0.407309085,0.3238366,0.46534487218475,0.481396408677101
2018,Cryptobenthic reef fishes,0.416348159,0.3803063,0.546490393688038,0.495236275196075
