"year.group","scenario","trophic_group","sum_var1","rel.contribution"
2012,"RCP 2.6","Generalist predators",5.0522383284,"19.4"
2012,"RCP 2.6","Herbivores/Detritivores",12.8348445816,"49.4"
2012,"RCP 2.6","Invertivores",5.8013804812,"22.3"
2012,"RCP 2.6","Reef sharks",2.3032042096,"8.9"
2012,"RCP 4.5","Generalist predators",5.0559882264,"19.5"
2012,"RCP 4.5","Herbivores/Detritivores",12.7411188488,"49.3"
2012,"RCP 4.5","Invertivores",5.783409064,"22.4"
2012,"RCP 4.5","Reef sharks",2.2825102784,"8.8"
2012,"RCP 8.5","Generalist predators",5.072329642,"19.6"
2012,"RCP 8.5","Herbivores/Detritivores",12.7768540844,"49.3"
2012,"RCP 8.5","Invertivores",5.78076275,"22.3"
2012,"RCP 8.5","Reef sharks",2.2775017784,"8.8"
2012,"Status quo","Generalist predators",5.089404084,"19.7"
2012,"Status quo","Herbivores/Detritivores",12.63890594,"49"
2012,"Status quo","Invertivores",5.7980100844,"22.5"
2012,"Status quo","Reef sharks",2.290849452,"8.9"
2100,"RCP 2.6","Generalist predators",5.4399777732,"19.6"
2100,"RCP 2.6","Herbivores/Detritivores",11.8341772224,"42.7"
2100,"RCP 2.6","Invertivores",7.44638415996,"26.9"
2100,"RCP 2.6","Reef sharks",2.9999991468,"10.8"
2100,"RCP 4.5","Generalist predators",4.4039022436,"19.6"
2100,"RCP 4.5","Herbivores/Detritivores",9.29469236136,"41.3"
2100,"RCP 4.5","Invertivores",6.6793288229696,"29.7"
2100,"RCP 4.5","Reef sharks",2.1310992128,"9.5"
2100,"RCP 8.5","Generalist predators",0.75484759221659,"20.3"
2100,"RCP 8.5","Herbivores/Detritivores",0.715785212540684,"19.2"
2100,"RCP 8.5","Invertivores",1.89151973210551,"50.9"
2100,"RCP 8.5","Reef sharks",0.356341004469028,"9.6"
2100,"Status quo","Generalist predators",5.2093351492,"19.1"
2100,"Status quo","Herbivores/Detritivores",11.9099191668,"43.7"
2100,"Status quo","Invertivores",7.15093666816,"26.3"
2100,"Status quo","Reef sharks",2.9655814316,"10.9"
