"Species","max","min","opti","perc10","perc90"
"Abudefduf saxatilis",32.36,11.55,24.42,20.67,28.16
"Acanthurus spp.",29.061,10.91,26.0046,23.96,28.04
"Algal turf",34.5,15,27.5,17.3,32
"Benthic macroinvert.",31,21.6,27.5,22.5,30
"Benthic microinvert.",30,20.9,27.5,22,29
"Carangidae",32.04,11.03,25,22.84,28.01
"Cephalopholis fulva",32.26,22.9,26.7,25.33,28.06
"Cephalopoda",32.175,6.67,21.955,11.66,27.99
"Cryptobenthic reef fishes",32.337,18.53,26.283,23.89,28.11
"Digenea simplex",33,18,27,19.8,31.5
"Ginglymostoma cirratum",29.83,14.74,26.63,25.3,27.95
"Haemulidae",32.2785,22.58,27.1955,26.39,28.04
"Holocentrus adscensionis",32.15,21.19,26.14,24.33,27.95
"Kyphosus spp.",32.1,13.96,26.06,24.21,27.9
"Lutjanus jocu",32.28,10.9,26.17,24.26,28.08
"Melichthys niger",32.83,20.98,26.66,24.69,28.63
"Mulloidichthys martinicus",32.24,21.1,26.08,24.11,28.04
"Negaprion brevirostris",32.23,12.66,25.66,23.28,28.03
"Panulirus spp.",31.81,18.665,25.325,21.03,27.28
"Phytoplankton",33,18,27,20,32.5
"Siderastrea stellata",28.8,12,27.18,12.9,27.5
"Sparisoma spp.",31.6535,19.82,25.3,23.16,27.45
"Stegastes rocasensis",31.63,26.76,27.4,27.26,27.43
"Thalassoma noronhanum",31.67,22.46,25.53,23.59,27.47
"Turtles",33.04,10.36,25.26,17.21,28.83
"Zooplankton",34.4,20,27.5,21.2,33
