,Group name,Hab area (proportion),Biomass in habitat area (t/km²),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km²/year)
1,Sea birds,1,0.02,5.4,76.5,,,,0.2,0
2,Negaprion brevirostris,1,0.17,0.264,3.2,,,,0.2,0
3,Ginglymostoma cirratum,1,1.8,0.566,3.1,,,,0.2,0
4,Lutjanus jocu,1,2.22,0.524,5.5,,,,0.2,0
5,Cephalopholis fulva,1,0.2,1.3,6.7,,,,0.2,0
6,Carangidae,1,2.12,1.163,11.3,,,,0.2,0
7,Acanthurus spp.,1,9.86,0.96,10.9,,,,0.4,0
8,Stegastes rocasensis,1,0.46,1.74,14.7,,,,0.4,0
9,Thalassoma noronhanum,1,0.2,1.67,14.1,,,,0.2,0
10,Abudefduf saxatilis,1,0.99,1.22,11.2,,,,0.2,0
11,Sparisoma spp.,1,1.13,1.02,6.2,,,,0.4,0
12,Melichthys niger,1,0.27,1.32,10,,,,0.2,0
13,Kyphosus spp.,1,0.46,0.73,27.5,,,,0.2,0
14,Mulloidichthys martinicus,1,0.416,1.92,9.6,,,,0.2,0
15,Holocentrus adscensionis,1,2.118,1.24,8.3,,,,0.2,0
16,Haemulidae,1,0.962,1.07,11.6,,,,0.2,0
17,Small omnivore fish,1,0.79,2.73,25.1,,,,0.2,0
18,Turtles,1,0.022,0.29,2.35,,,,0.2,0
19,Cephalopoda,1,0.405,6.4,36.5,,,,0.2,0
20,Panulirus spp.,0.85,6,1.28,7.4,,,,0.2,0
21,Benthic macroinvertebrates,1,,3.8,10,0.9,,,0.4,0
22,Benthic microinvertebrates,1,,4.94,16.69,0.85,,,0.4,0
23,Siderastrea stellata,0.18,3.95,1.66,9.4,,,,0.2,0
24,Zooplankton,0.95,0.27,87,160,,,,0.4,0
25,Phytoplankton,1,0.15,109.5,,,,,0,0
26,Digenea simplex,0.6,352.73,274,,,,,0,0
27,Other algal turf,0.55,1458.75,323,,,,,0,0
28,Detritus,1,1,,,0,,,0,0
29,Fleets,0,0,0,0,0,0,0,0,0
