Name model,Vs,SS,AIC,AICc
Baseline,0,13.71019,-192.7491,-192.7491
Baseline and 1v,1,13.35844,-193.2546,-193.2546
Baseline and 2v,2,11.88534,-202.6205,-202.5784
Baseline and 3v,3,11.35787,-204.9402,-204.8125
Baseline and 4v,4,11.03534,-205.5886,-205.3306
Baseline and 5v,5,11.01352,-203.5605,-203.1257
Baseline and 6v,6,10.74126,-203.7427,-203.0834
Baseline and 7v,7,10.69951,-201.8029,-200.8696
Baseline and 8v,8,10.32912,-202.8821,-201.6237
Baseline and 9v,9,10.32716,-200.4732,-198.8368
Baseline and 10v,10,10.21456,-199.0643,-196.9953
Baseline and 11v,11,10.21326,-196.5357,-193.9775
Baseline and 12v,12,10.20106,-194.0521,-190.9462
Baseline and 13v,13,10.0285,-193.0613,-189.347
